Subject,Model,Class,Precision,Recall,F1,Support
A01T,SVM,Left Hand,0.8814,0.8525,0.8667,61.0
A01T,SVM,Right Hand,0.8615,0.918,0.8889,61.0
A01T,SVM,Feet,0.8478,0.6393,0.729,61.0
A01T,SVM,Tongue,0.7568,0.918,0.8296,61.0
A01T,LDA,Left Hand,0.8868,0.7705,0.8246,61.0
A01T,LDA,Right Hand,0.8308,0.8852,0.8571,61.0
A01T,LDA,Feet,0.7541,0.7541,0.7541,61.0
A01T,LDA,Tongue,0.8,0.8525,0.8254,61.0
A01T,RF,Left Hand,0.8596,0.8033,0.8305,61.0
A01T,RF,Right Hand,0.8235,0.918,0.8682,61.0
A01T,RF,Feet,0.7451,0.623,0.6786,61.0
A01T,RF,Tongue,0.7206,0.8033,0.7597,61.0
A02T,SVM,Left Hand,0.3396,0.2951,0.3158,61.0
A02T,SVM,Right Hand,0.4762,0.4918,0.4839,61.0
A02T,SVM,Feet,0.7619,0.7869,0.7742,61.0
A02T,SVM,Tongue,0.5538,0.5902,0.5714,61.0
A02T,LDA,Left Hand,0.4074,0.3607,0.3826,61.0
A02T,LDA,Right Hand,0.5273,0.4754,0.5,61.0
A02T,LDA,Feet,0.7971,0.9016,0.8462,61.0
A02T,LDA,Tongue,0.5455,0.5902,0.5669,61.0
A02T,RF,Left Hand,0.3962,0.3443,0.3684,61.0
A02T,RF,Right Hand,0.4462,0.4754,0.4603,61.0
A02T,RF,Feet,0.75,0.8361,0.7907,61.0
A02T,RF,Tongue,0.5172,0.4918,0.5042,61.0
A03T,SVM,Left Hand,0.9333,0.918,0.9256,61.0
A03T,SVM,Right Hand,0.9333,0.918,0.9256,61.0
A03T,SVM,Feet,0.8947,0.8361,0.8644,61.0
A03T,SVM,Tongue,0.7761,0.8525,0.8125,61.0
A03T,LDA,Left Hand,0.9655,0.918,0.9412,61.0
A03T,LDA,Right Hand,0.9649,0.9016,0.9322,61.0
A03T,LDA,Feet,0.8448,0.8033,0.8235,61.0
A03T,LDA,Tongue,0.7465,0.8689,0.803,61.0
A03T,RF,Left Hand,0.9298,0.8689,0.8983,61.0
A03T,RF,Right Hand,0.9062,0.9508,0.928,61.0
A03T,RF,Feet,0.8033,0.8033,0.8033,61.0
A03T,RF,Tongue,0.8065,0.8197,0.813,61.0
A04T,SVM,Left Hand,0.4638,0.4848,0.4741,66.0
A04T,SVM,Right Hand,0.4074,0.3607,0.3826,61.0
A04T,SVM,Feet,0.4697,0.4844,0.4769,64.0
A04T,SVM,Tongue,0.3913,0.403,0.3971,67.0
A04T,LDA,Left Hand,0.4531,0.4394,0.4462,66.0
A04T,LDA,Right Hand,0.4727,0.4262,0.4483,61.0
A04T,LDA,Feet,0.4776,0.5,0.4885,64.0
A04T,LDA,Tongue,0.4722,0.5075,0.4892,67.0
A04T,RF,Left Hand,0.4658,0.5152,0.4892,66.0
A04T,RF,Right Hand,0.4717,0.4098,0.4386,61.0
A04T,RF,Feet,0.4286,0.4219,0.4252,64.0
A04T,RF,Tongue,0.4783,0.4925,0.4853,67.0
A05T,SVM,Left Hand,0.3235,0.3607,0.3411,61.0
A05T,SVM,Right Hand,0.4355,0.4426,0.439,61.0
A05T,SVM,Feet,0.2712,0.2623,0.2667,61.0
A05T,SVM,Tongue,0.6182,0.5574,0.5862,61.0
A05T,LDA,Left Hand,0.3548,0.3607,0.3577,61.0
A05T,LDA,Right Hand,0.4444,0.5246,0.4812,61.0
A05T,LDA,Feet,0.2245,0.1803,0.2,61.0
A05T,LDA,Tongue,0.623,0.623,0.623,61.0
A05T,RF,Left Hand,0.3881,0.4262,0.4062,61.0
A05T,RF,Right Hand,0.4286,0.3934,0.4103,61.0
A05T,RF,Feet,0.3621,0.3443,0.3529,61.0
A05T,RF,Tongue,0.5873,0.6066,0.5968,61.0
A06T,SVM,Left Hand,0.5946,0.6286,0.6111,70.0
A06T,SVM,Right Hand,0.5147,0.5072,0.5109,69.0
A06T,SVM,Feet,0.5278,0.5507,0.539,69.0
A06T,SVM,Tongue,0.5,0.4571,0.4776,70.0
A06T,LDA,Left Hand,0.5972,0.6143,0.6056,70.0
A06T,LDA,Right Hand,0.4667,0.4058,0.4341,69.0
A06T,LDA,Feet,0.4667,0.5072,0.4861,69.0
A06T,LDA,Tongue,0.4648,0.4714,0.4681,70.0
A06T,RF,Left Hand,0.5909,0.5571,0.5735,70.0
A06T,RF,Right Hand,0.4348,0.4348,0.4348,69.0
A06T,RF,Feet,0.4932,0.5217,0.507,69.0
A06T,RF,Tongue,0.5286,0.5286,0.5286,70.0
A07T,SVM,Left Hand,0.7241,0.6885,0.7059,61.0
A07T,SVM,Right Hand,0.7167,0.7049,0.7107,61.0
A07T,SVM,Feet,0.7681,0.8689,0.8154,61.0
A07T,SVM,Tongue,0.8421,0.7869,0.8136,61.0
A07T,LDA,Left Hand,0.8214,0.7541,0.7863,61.0
A07T,LDA,Right Hand,0.7903,0.8033,0.7967,61.0
