Subject,Model,Fold,Accuracy
A01T,SVM,1,85.71
A01T,SVM,2,85.71
A01T,SVM,3,89.8
A01T,SVM,4,77.55
A01T,SVM,5,77.08
A01T,LDA,1,83.67
A01T,LDA,2,89.8
A01T,LDA,3,81.63
A01T,LDA,4,75.51
A01T,LDA,5,77.08
A01T,RF,1,85.71
A01T,RF,2,75.51
A01T,RF,3,83.67
A01T,RF,4,71.43
A01T,RF,5,77.08
A02T,SVM,1,48.98
A02T,SVM,2,57.14
A02T,SVM,3,51.02
A02T,SVM,4,53.06
A02T,SVM,5,60.42
A02T,LDA,1,51.02
A02T,LDA,2,61.22
A02T,LDA,3,65.31
A02T,LDA,4,57.14
A02T,LDA,5,56.25
A02T,RF,1,53.06
A02T,RF,2,61.22
A02T,RF,3,48.98
A02T,RF,4,48.98
A02T,RF,5,56.25
A03T,SVM,1,83.67
A03T,SVM,2,85.71
A03T,SVM,3,91.84
A03T,SVM,4,83.67
A03T,SVM,5,95.83
A03T,LDA,1,81.63
A03T,LDA,2,85.71
A03T,LDA,3,89.8
A03T,LDA,4,85.71
A03T,LDA,5,93.75
A03T,RF,1,79.59
A03T,RF,2,87.76
A03T,RF,3,93.88
A03T,RF,4,77.55
A03T,RF,5,91.67
A04T,SVM,1,38.46
A04T,SVM,2,57.69
A04T,SVM,3,36.54
A04T,SVM,4,41.18
A04T,SVM,5,43.14
A04T,LDA,1,46.15
A04T,LDA,2,59.62
A04T,LDA,3,36.54
A04T,LDA,4,43.14
A04T,LDA,5,49.02
A04T,RF,1,36.54
A04T,RF,2,61.54
A04T,RF,3,36.54
A04T,RF,4,41.18
A04T,RF,5,54.9
A05T,SVM,1,42.86
A05T,SVM,2,44.9
A05T,SVM,3,44.9
A05T,SVM,4,34.69
A05T,SVM,5,35.42
A05T,LDA,1,46.94
A05T,LDA,2,46.94
A05T,LDA,3,48.98
A05T,LDA,4,34.69
A05T,LDA,5,33.33
A05T,RF,1,44.9
A05T,RF,2,53.06
A05T,RF,3,44.9
A05T,RF,4,38.78
A05T,RF,5,39.58
A06T,SVM,1,55.36
A06T,SVM,2,60.71
A06T,SVM,3,44.64
A06T,SVM,4,54.55
A06T,SVM,5,52.73
A06T,LDA,1,51.79
A06T,LDA,2,53.57
A06T,LDA,3,46.43
A06T,LDA,4,50.91
A06T,LDA,5,47.27
A06T,RF,1,50.0
A06T,RF,2,53.57
A06T,RF,3,44.64
A06T,RF,4,52.73
A06T,RF,5,54.55
A07T,SVM,1,71.43
A07T,SVM,2,77.55
A07T,SVM,3,81.63
A07T,SVM,4,77.55
A07T,SVM,5,72.92
A07T,LDA,1,77.55
A07T,LDA,2,83.67
A07T,LDA,3,85.71
A07T,LDA,4,81.63
A07T,LDA,5,77.08
A07T,RF,1,67.35
A07T,RF,2,81.63
A07T,RF,3,73.47
A07T,RF,4,79.59
A07T,RF,5,72.92
A08T,SVM,1,82.35
A08T,SVM,2,84.31
A08T,SVM,3,84.0
A08T,SVM,4,92.0
A08T,SVM,5,82.0
A08T,LDA,1,82.35
A08T,LDA,2,84.31
A08T,LDA,3,82.0
A08T,LDA,4,92.0
A08T,LDA,5,82.0
A08T,RF,1,80.39
A08T,RF,2,80.39
A08T,RF,3,78.0
A08T,RF,4,86.0
A08T,RF,5,82.0
A09T,SVM,1,63.27
A09T,SVM,2,69.39
A09T,SVM,3,59.18
A09T,SVM,4,71.43
A09T,SVM,5,58.33
A09T,LDA,1,57.14
A09T,LDA,2,69.39
A09T,LDA,3,67.35
A09T,LDA,4,65.31
A09T,LDA,5,62.5
A09T,RF,1,55.1
A09T,RF,2,69.39
A09T,RF,3,63.27
A09T,RF,4,69.39
A09T,RF,5,62.5
