Subject,Model,Class,Precision,Recall,F1,Support
A01T,SVM_tuned,Left Hand,0.8852,0.8852,0.8852,61.0
A01T,SVM_tuned,Right Hand,0.8889,0.918,0.9032,61.0
A01T,SVM_tuned,Feet,0.8571,0.6885,0.7636,61.0
A01T,SVM_tuned,Tongue,0.7887,0.918,0.8485,61.0
A01T,LDA_improved,Left Hand,0.8868,0.7705,0.8246,61.0
A01T,LDA_improved,Right Hand,0.8308,0.8852,0.8571,61.0
A01T,LDA_improved,Feet,0.7541,0.7541,0.7541,61.0
A01T,LDA_improved,Tongue,0.8,0.8525,0.8254,61.0
A01T,RF_improved,Left Hand,0.8621,0.8197,0.8403,61.0
A01T,RF_improved,Right Hand,0.8358,0.918,0.875,61.0
A01T,RF_improved,Feet,0.7708,0.6066,0.6789,61.0
A01T,RF_improved,Tongue,0.7183,0.8361,0.7727,61.0
A01T,Ensemble,Left Hand,0.8814,0.8525,0.8667,61.0
A01T,Ensemble,Right Hand,0.8594,0.9016,0.88,61.0
A01T,Ensemble,Feet,0.8269,0.7049,0.7611,61.0
A01T,Ensemble,Tongue,0.7971,0.9016,0.8462,61.0
A02T,SVM_tuned,Left Hand,0.381,0.3934,0.3871,61.0
A02T,SVM_tuned,Right Hand,0.5306,0.4262,0.4727,61.0
A02T,SVM_tuned,Feet,0.7612,0.8361,0.7969,61.0
A02T,SVM_tuned,Tongue,0.5692,0.6066,0.5873,61.0
A02T,LDA_improved,Left Hand,0.4074,0.3607,0.3826,61.0
A02T,LDA_improved,Right Hand,0.5273,0.4754,0.5,61.0
A02T,LDA_improved,Feet,0.7971,0.9016,0.8462,61.0
A02T,LDA_improved,Tongue,0.5455,0.5902,0.5669,61.0
A02T,RF_improved,Left Hand,0.3958,0.3115,0.3486,61.0
A02T,RF_improved,Right Hand,0.4412,0.4918,0.4651,61.0
A02T,RF_improved,Feet,0.7681,0.8689,0.8154,61.0
A02T,RF_improved,Tongue,0.5424,0.5246,0.5333,61.0
A02T,Ensemble,Left Hand,0.4792,0.377,0.422,61.0
A02T,Ensemble,Right Hand,0.5294,0.5902,0.5581,61.0
A02T,Ensemble,Feet,0.8,0.8525,0.8254,61.0
A02T,Ensemble,Tongue,0.5556,0.5738,0.5645,61.0
A03T,SVM_tuned,Left Hand,0.9333,0.918,0.9256,61.0
A03T,SVM_tuned,Right Hand,0.9333,0.918,0.9256,61.0
A03T,SVM_tuned,Feet,0.9091,0.8197,0.8621,61.0
A03T,SVM_tuned,Tongue,0.7681,0.8689,0.8154,61.0
A03T,LDA_improved,Left Hand,0.9655,0.918,0.9412,61.0
A03T,LDA_improved,Right Hand,0.9649,0.9016,0.9322,61.0
A03T,LDA_improved,Feet,0.8448,0.8033,0.8235,61.0
A03T,LDA_improved,Tongue,0.7465,0.8689,0.803,61.0
A03T,RF_improved,Left Hand,0.9333,0.918,0.9256,61.0
A03T,RF_improved,Right Hand,0.9206,0.9508,0.9355,61.0
A03T,RF_improved,Feet,0.8361,0.8361,0.8361,61.0
A03T,RF_improved,Tongue,0.8333,0.8197,0.8264,61.0
A03T,Ensemble,Left Hand,0.918,0.918,0.918,61.0
A03T,Ensemble,Right Hand,0.9649,0.9016,0.9322,61.0
A03T,Ensemble,Feet,0.8525,0.8525,0.8525,61.0
A03T,Ensemble,Tongue,0.7846,0.8361,0.8095,61.0
A04T,SVM_tuned,Left Hand,0.4706,0.4848,0.4776,66.0
A04T,SVM_tuned,Right Hand,0.4265,0.4754,0.4496,61.0
A04T,SVM_tuned,Feet,0.5,0.5469,0.5224,64.0
A04T,SVM_tuned,Tongue,0.5,0.3881,0.437,67.0
A04T,LDA_improved,Left Hand,0.4677,0.4394,0.4531,66.0
A04T,LDA_improved,Right Hand,0.4655,0.4426,0.4538,61.0
A04T,LDA_improved,Feet,0.4925,0.5156,0.5038,64.0
A04T,LDA_improved,Tongue,0.4789,0.5075,0.4928,67.0
A04T,RF_improved,Left Hand,0.4848,0.4848,0.4848,66.0
A04T,RF_improved,Right Hand,0.431,0.4098,0.4202,61.0
A04T,RF_improved,Feet,0.4559,0.4844,0.4697,64.0
A04T,RF_improved,Tongue,0.4697,0.4627,0.4662,67.0
A04T,Ensemble,Left Hand,0.4776,0.4848,0.4812,66.0
