Subject,Model,Fold,Accuracy
A01T,SVM_tuned,1,85.71
A01T,SVM_tuned,2,89.8
A01T,SVM_tuned,3,89.8
A01T,SVM_tuned,4,83.67
A01T,SVM_tuned,5,77.08
A01T,LDA_improved,1,83.67
A01T,LDA_improved,2,89.8
A01T,LDA_improved,3,81.63
A01T,LDA_improved,4,75.51
A01T,LDA_improved,5,77.08
A01T,RF_improved,1,85.71
A01T,RF_improved,2,75.51
A01T,RF_improved,3,87.76
A01T,RF_improved,4,71.43
A01T,RF_improved,5,77.08
A01T,Ensemble,1,85.71
A01T,Ensemble,2,89.8
A01T,Ensemble,3,85.71
A01T,Ensemble,4,81.63
A01T,Ensemble,5,77.08
A02T,SVM_tuned,1,51.02
A02T,SVM_tuned,2,59.18
A02T,SVM_tuned,3,57.14
A02T,SVM_tuned,4,53.06
A02T,SVM_tuned,5,62.5
A02T,LDA_improved,1,51.02
A02T,LDA_improved,2,61.22
A02T,LDA_improved,3,65.31
A02T,LDA_improved,4,57.14
A02T,LDA_improved,5,56.25
A02T,RF_improved,1,53.06
A02T,RF_improved,2,61.22
A02T,RF_improved,3,53.06
A02T,RF_improved,4,51.02
A02T,RF_improved,5,56.25
A02T,Ensemble,1,51.02
A02T,Ensemble,2,63.27
A02T,Ensemble,3,59.18
A02T,Ensemble,4,61.22
A02T,Ensemble,5,64.58
A03T,SVM_tuned,1,85.71
A03T,SVM_tuned,2,85.71
A03T,SVM_tuned,3,89.8
A03T,SVM_tuned,4,83.67
A03T,SVM_tuned,5,95.83
A03T,LDA_improved,1,81.63
A03T,LDA_improved,2,85.71
A03T,LDA_improved,3,89.8
A03T,LDA_improved,4,85.71
A03T,LDA_improved,5,93.75
A03T,RF_improved,1,79.59
A03T,RF_improved,2,89.8
A03T,RF_improved,3,93.88
A03T,RF_improved,4,85.71
A03T,RF_improved,5,91.67
A03T,Ensemble,1,79.59
A03T,Ensemble,2,85.71
A03T,Ensemble,3,91.84
A03T,Ensemble,4,85.71
A03T,Ensemble,5,95.83
A04T,SVM_tuned,1,40.38
A04T,SVM_tuned,2,59.62
A04T,SVM_tuned,3,38.46
A04T,SVM_tuned,4,52.94
A04T,SVM_tuned,5,45.1
A04T,LDA_improved,1,46.15
A04T,LDA_improved,2,59.62
A04T,LDA_improved,3,40.38
A04T,LDA_improved,4,43.14
A04T,LDA_improved,5,49.02
A04T,RF_improved,1,38.46
A04T,RF_improved,2,57.69
A04T,RF_improved,3,40.38
A04T,RF_improved,4,43.14
A04T,RF_improved,5,50.98
A04T,Ensemble,1,42.31
A04T,Ensemble,2,61.54
A04T,Ensemble,3,38.46
A04T,Ensemble,4,45.1
A04T,Ensemble,5,45.1
A05T,SVM_tuned,1,46.94
A05T,SVM_tuned,2,44.9
A05T,SVM_tuned,3,42.86
A05T,SVM_tuned,4,38.78
A05T,SVM_tuned,5,35.42
A05T,LDA_improved,1,46.94
A05T,LDA_improved,2,46.94
A05T,LDA_improved,3,48.98
A05T,LDA_improved,4,34.69
A05T,LDA_improved,5,33.33
A05T,RF_improved,1,44.9
A05T,RF_improved,2,57.14
A05T,RF_improved,3,44.9
A05T,RF_improved,4,36.73
A05T,RF_improved,5,39.58
A05T,Ensemble,1,44.9
A05T,Ensemble,2,48.98
A05T,Ensemble,3,44.9
A05T,Ensemble,4,36.73
A05T,Ensemble,5,35.42
A06T,SVM_tuned,1,55.36
A06T,SVM_tuned,2,60.71
A06T,SVM_tuned,3,46.43
A06T,SVM_tuned,4,54.55
A06T,SVM_tuned,5,50.91
A06T,LDA_improved,1,50.0
A06T,LDA_improved,2,53.57
A06T,LDA_improved,3,48.21
A06T,LDA_improved,4,50.91
A06T,LDA_improved,5,47.27
A06T,RF_improved,1,48.21
A06T,RF_improved,2,53.57
A06T,RF_improved,3,39.29
A06T,RF_improved,4,54.55
A06T,RF_improved,5,49.09
A06T,Ensemble,1,53.57
A06T,Ensemble,2,58.93
A06T,Ensemble,3,46.43
A06T,Ensemble,4,56.36
A06T,Ensemble,5,47.27
A07T,SVM_tuned,1,81.63
A07T,SVM_tuned,2,85.71
A07T,SVM_tuned,3,77.55
A07T,SVM_tuned,4,81.63
A07T,SVM_tuned,5,77.08
A07T,LDA_improved,1,77.55
A07T,LDA_improved,2,83.67
A07T,LDA_improved,3,85.71
A07T,LDA_improved,4,83.67
A07T,LDA_improved,5,77.08
A07T,RF_improved,1,63.27
A07T,RF_improved,2,79.59
A07T,RF_improved,3,77.55
A07T,RF_improved,4,79.59
A07T,RF_improved,5,72.92
A07T,Ensemble,1,69.39
A07T,Ensemble,2,81.63
A07T,Ensemble,3,85.71
A07T,Ensemble,4,79.59
A07T,Ensemble,5,75.0
A08T,SVM_tuned,1,84.31
A08T,SVM_tuned,2,84.31
A08T,SVM_tuned,3,84.0
A08T,SVM_tuned,4,92.0
A08T,SVM_tuned,5,82.0
A08T,LDA_improved,1,82.35
A08T,LDA_improved,2,84.31
A08T,LDA_improved,3,82.0
A08T,LDA_improved,4,92.0
A08T,LDA_improved,5,82.0
A08T,RF_improved,1,76.47
A08T,RF_improved,2,78.43
A08T,RF_improved,3,80.0
A08T,RF_improved,4,88.0
A08T,RF_improved,5,86.0
A08T,Ensemble,1,84.31
A08T,Ensemble,2,86.27
A08T,Ensemble,3,82.0
A08T,Ensemble,4,92.0
A08T,Ensemble,5,82.0
A09T,SVM_tuned,1,65.31
A09T,SVM_tuned,2,73.47
A09T,SVM_tuned,3,59.18
A09T,SVM_tuned,4,71.43
A09T,SVM_tuned,5,62.5
A09T,LDA_improved,1,57.14
A09T,LDA_improved,2,69.39
A09T,LDA_improved,3,67.35
A09T,LDA_improved,4,65.31
A09T,LDA_improved,5,62.5
A09T,RF_improved,1,61.22
A09T,RF_improved,2,67.35
A09T,RF_improved,3,63.27
A09T,RF_improved,4,67.35
A09T,RF_improved,5,62.5
A09T,Ensemble,1,57.14
A09T,Ensemble,2,71.43
A09T,Ensemble,3,63.27
A09T,Ensemble,4,71.43
A09T,Ensemble,5,60.42
