Subject,Model,Class,Precision,Recall,F1,Support
A01T,SVM,Left Hand,0.8636,0.8636,0.8636,44.0
A01T,SVM,Right Hand,0.9167,0.9016,0.9091,61.0
A01T,SVM,Feet,0.8,0.7273,0.7619,33.0
A01T,SVM,Tongue,0.7,0.8077,0.75,26.0
A01T,LDA,Left Hand,0.9167,0.75,0.825,44.0
A01T,LDA,Right Hand,0.8636,0.9344,0.8976,61.0
A01T,LDA,Feet,0.7368,0.8485,0.7887,33.0
A01T,LDA,Tongue,0.7917,0.7308,0.76,26.0
A01T,RF,Left Hand,0.8889,0.7273,0.8,44.0
A01T,RF,Right Hand,0.8507,0.9344,0.8906,61.0
A01T,RF,Feet,0.7742,0.7273,0.75,33.0
A01T,RF,Tongue,0.6667,0.7692,0.7143,26.0
A02T,SVM,Left Hand,0.4182,0.4182,0.4182,55.0
A02T,SVM,Right Hand,0.6,0.5893,0.5946,56.0
A02T,SVM,Feet,0.7755,0.7755,0.7755,49.0
A02T,SVM,Tongue,0.5789,0.5893,0.5841,56.0
A02T,LDA,Left Hand,0.4444,0.4364,0.4404,55.0
A02T,LDA,Right Hand,0.62,0.5536,0.5849,56.0
A02T,LDA,Feet,0.7736,0.8367,0.8039,49.0
A02T,LDA,Tongue,0.5763,0.6071,0.5913,56.0
A02T,RF,Left Hand,0.4032,0.4545,0.4274,55.0
A02T,RF,Right Hand,0.6275,0.5714,0.5981,56.0
A02T,RF,Feet,0.7736,0.8367,0.8039,49.0
A02T,RF,Tongue,0.58,0.5179,0.5472,56.0
A03T,SVM,Left Hand,0.9487,0.9024,0.925,41.0
A03T,SVM,Right Hand,0.9412,0.9412,0.9412,51.0
A03T,SVM,Feet,0.8163,0.8511,0.8333,47.0
A03T,SVM,Tongue,0.8,0.8,0.8,40.0
A03T,LDA,Left Hand,0.9737,0.9024,0.9367,41.0
A03T,LDA,Right Hand,0.9574,0.8824,0.9184,51.0
A03T,LDA,Feet,0.8261,0.8085,0.8172,47.0
A03T,LDA,Tongue,0.7083,0.85,0.7727,40.0
A03T,RF,Left Hand,0.973,0.878,0.9231,41.0
A03T,RF,Right Hand,0.9074,0.9608,0.9333,51.0
A03T,RF,Feet,0.8605,0.7872,0.8222,47.0
A03T,RF,Tongue,0.7778,0.875,0.8235,40.0
A04T,SVM,Left Hand,0.5672,0.5672,0.5672,67.0
A04T,SVM,Right Hand,0.5179,0.4603,0.4874,63.0
A04T,SVM,Feet,0.5443,0.6719,0.6014,64.0
A04T,SVM,Tongue,0.5833,0.5147,0.5469,68.0
A04T,LDA,Left Hand,0.6102,0.5373,0.5714,67.0
A04T,LDA,Right Hand,0.5246,0.5079,0.5161,63.0
A04T,LDA,Feet,0.589,0.6719,0.6277,64.0
A04T,LDA,Tongue,0.5797,0.5882,0.5839,68.0
