Subject,Model,Class,Precision,Recall,F1,Support
A01T,SVM,Left Hand,0.8276,0.5455,0.6575,44.0
A01T,SVM,Right Hand,0.7568,0.918,0.8296,61.0
A01T,SVM,Feet,0.6923,0.8182,0.75,33.0
A01T,SVM,Tongue,0.7727,0.6538,0.7083,26.0
A01T,LDA,Left Hand,0.8056,0.6591,0.725,44.0
A01T,LDA,Right Hand,0.806,0.8852,0.8438,61.0
A01T,LDA,Feet,0.7368,0.8485,0.7887,33.0
A01T,LDA,Tongue,0.7826,0.6923,0.7347,26.0
A01T,RF,Left Hand,1.0,0.5,0.6667,44.0
A01T,RF,Right Hand,0.7531,1.0,0.8592,61.0
A01T,RF,Feet,0.7179,0.8485,0.7778,33.0
A01T,RF,Tongue,0.7727,0.6538,0.7083,26.0
A02T,SVM,Left Hand,0.4182,0.4182,0.4182,55.0
A02T,SVM,Right Hand,0.5385,0.5,0.5185,56.0
A02T,SVM,Feet,0.6863,0.7143,0.7,49.0
A02T,SVM,Tongue,0.569,0.5893,0.5789,56.0
A02T,LDA,Left Hand,0.5098,0.4727,0.4906,55.0
A02T,LDA,Right Hand,0.5849,0.5536,0.5688,56.0
A02T,LDA,Feet,0.7358,0.7959,0.7647,49.0
A02T,LDA,Tongue,0.5593,0.5893,0.5739,56.0
A02T,RF,Left Hand,0.44,0.4,0.419,55.0
A02T,RF,Right Hand,0.5333,0.4286,0.4752,56.0
A02T,RF,Feet,0.6667,0.8571,0.75,49.0
A02T,RF,Tongue,0.5862,0.6071,0.5965,56.0
A03T,SVM,Left Hand,0.9688,0.7561,0.8493,41.0
A03T,SVM,Right Hand,0.898,0.8627,0.88,51.0
A03T,SVM,Feet,0.78,0.8298,0.8041,47.0
A03T,SVM,Tongue,0.7292,0.875,0.7955,40.0
A03T,LDA,Left Hand,0.9722,0.8537,0.9091,41.0
A03T,LDA,Right Hand,0.9057,0.9412,0.9231,51.0
A03T,LDA,Feet,0.8367,0.8723,0.8542,47.0
A03T,LDA,Tongue,0.8293,0.85,0.8395,40.0
A03T,RF,Left Hand,0.8824,0.7317,0.8,41.0
A03T,RF,Right Hand,0.8727,0.9412,0.9057,51.0
A03T,RF,Feet,0.7556,0.7234,0.7391,47.0
A03T,RF,Tongue,0.7333,0.825,0.7765,40.0
A04T,SVM,Left Hand,0.6053,0.6866,0.6434,67.0
A04T,SVM,Right Hand,0.6531,0.5079,0.5714,63.0
A04T,SVM,Feet,0.5211,0.5781,0.5481,64.0
A04T,SVM,Tongue,0.5758,0.5588,0.5672,68.0
A04T,LDA,Left Hand,0.6324,0.6418,0.637,67.0
A04T,LDA,Right Hand,0.6316,0.5714,0.6,63.0
A04T,LDA,Feet,0.6154,0.625,0.6202,64.0
A04T,LDA,Tongue,0.625,0.6618,0.6429,68.0
A04T,RF,Left Hand,0.4643,0.5821,0.5166,67.0
A04T,RF,Right Hand,0.6579,0.3968,0.495,63.0
A04T,RF,Feet,0.6182,0.5312,0.5714,64.0
A04T,RF,Tongue,0.4941,0.6176,0.549,68.0
A05T,SVM,Left Hand,0.3529,0.4,0.375,30.0
A05T,SVM,Right Hand,0.303,0.303,0.303,33.0
A05T,SVM,Feet,0.1667,0.0455,0.0714,22.0
A05T,SVM,Tongue,0.537,0.6905,0.6042,42.0
A05T,LDA,Left Hand,0.3704,0.3333,0.3509,30.0
A05T,LDA,Right Hand,0.3529,0.3636,0.3582,33.0
A05T,LDA,Feet,0.1176,0.0909,0.1026,22.0
A05T,LDA,Tongue,0.5714,0.6667,0.6154,42.0
A05T,RF,Left Hand,0.4211,0.2667,0.3265,30.0
A05T,RF,Right Hand,0.3143,0.3333,0.3235,33.0
A05T,RF,Feet,0.0,0.0,0.0,22.0
A05T,RF,Tongue,0.4225,0.7143,0.531,42.0
A06T,SVM,Left Hand,0.525,0.5833,0.5526,72.0
A06T,SVM,Right Hand,0.5161,0.4638,0.4885,69.0
A06T,SVM,Feet,0.4458,0.5286,0.4837,70.0
A06T,SVM,Tongue,0.5789,0.4648,0.5156,71.0
A06T,LDA,Left Hand,0.5942,0.5694,0.5816,72.0
A06T,LDA,Right Hand,0.5362,0.5362,0.5362,69.0
A06T,LDA,Feet,0.475,0.5429,0.5067,70.0
A06T,LDA,Tongue,0.5469,0.493,0.5185,71.0
A06T,RF,Left Hand,0.4643,0.5417,0.5,72.0
A06T,RF,Right Hand,0.5283,0.4058,0.459,69.0
A06T,RF,Feet,0.4658,0.4857,0.4755,70.0
A06T,RF,Tongue,0.4722,0.4789,0.4755,71.0
A07T,SVM,Left Hand,0.6667,0.7647,0.7123,34.0
A07T,SVM,Right Hand,0.6842,0.6667,0.6753,39.0
A07T,SVM,Feet,0.8684,0.8462,0.8571,39.0
A07T,SVM,Tongue,0.871,0.7941,0.8308,34.0
A07T,LDA,Left Hand,0.6098,0.7353,0.6667,34.0
A07T,LDA,Right Hand,0.6857,0.6154,0.6486,39.0
A07T,LDA,Feet,0.8286,0.7436,0.7838,39.0
A07T,LDA,Tongue,0.8,0.8235,0.8116,34.0
A07T,RF,Left Hand,0.75,0.6176,0.6774,34.0
A07T,RF,Right Hand,0.6591,0.7436,0.6988,39.0
A07T,RF,Feet,0.75,0.8462,0.7952,39.0
A07T,RF,Tongue,0.8667,0.7647,0.8125,34.0
A08T,SVM,Left Hand,0.9348,0.8269,0.8776,52.0
A08T,SVM,Right Hand,0.94,0.8545,0.8952,55.0
A08T,SVM,Feet,0.7468,0.9077,0.8194,65.0
A08T,SVM,Tongue,0.9697,0.9275,0.9481,69.0
A08T,LDA,Left Hand,0.9038,0.9038,0.9038,52.0
A08T,LDA,Right Hand,0.9245,0.8909,0.9074,55.0
A08T,LDA,Feet,0.831,0.9077,0.8676,65.0
A08T,LDA,Tongue,0.9692,0.913,0.9403,69.0
A08T,RF,Left Hand,0.8511,0.7692,0.8081,52.0
A08T,RF,Right Hand,0.9565,0.8,0.8713,55.0
A08T,RF,Feet,0.6986,0.7846,0.7391,65.0
A08T,RF,Tongue,0.8267,0.8986,0.8611,69.0
A09T,SVM,Left Hand,0.8,0.8333,0.8163,48.0
A09T,SVM,Right Hand,0.625,0.4651,0.5333,43.0
A09T,SVM,Feet,0.6111,0.55,0.5789,40.0
A09T,SVM,Tongue,0.6604,0.875,0.7527,40.0
A09T,LDA,Left Hand,0.8043,0.7708,0.7872,48.0
A09T,LDA,Right Hand,0.5897,0.5349,0.561,43.0
A09T,LDA,Feet,0.6154,0.6,0.6076,40.0
A09T,LDA,Tongue,0.7447,0.875,0.8046,40.0
A09T,RF,Left Hand,0.7547,0.8333,0.7921,48.0
A09T,RF,Right Hand,0.6216,0.5349,0.575,43.0
A09T,RF,Feet,0.6333,0.475,0.5429,40.0
A09T,RF,Tongue,0.7255,0.925,0.8132,40.0
