Subject,Model,Fold,Accuracy
A01T,SVM,1,72.73
A01T,SVM,2,75.76
A01T,SVM,3,72.73
A01T,SVM,4,75.76
A01T,SVM,5,81.25
A01T,LDA,1,72.73
A01T,LDA,2,75.76
A01T,LDA,3,72.73
A01T,LDA,4,81.82
A01T,LDA,5,90.62
A01T,RF,1,81.82
A01T,RF,2,81.82
A01T,RF,3,72.73
A01T,RF,4,75.76
A01T,RF,5,78.12
A02T,SVM,1,59.09
A02T,SVM,2,46.51
A02T,SVM,3,44.19
A02T,SVM,4,67.44
A02T,SVM,5,58.14
A02T,LDA,1,61.36
A02T,LDA,2,53.49
A02T,LDA,3,60.47
A02T,LDA,4,62.79
A02T,LDA,5,60.47
A02T,RF,1,54.55
A02T,RF,2,60.47
A02T,RF,3,55.81
A02T,RF,4,62.79
A02T,RF,5,48.84
A03T,SVM,1,77.78
A03T,SVM,2,94.44
A03T,SVM,3,86.11
A03T,SVM,4,80.56
A03T,SVM,5,77.14
A03T,LDA,1,83.33
A03T,LDA,2,97.22
A03T,LDA,3,91.67
A03T,LDA,4,83.33
A03T,LDA,5,85.71
A03T,RF,1,75.0
A03T,RF,2,88.89
A03T,RF,3,80.56
A03T,RF,4,80.56
A03T,RF,5,80.0
A04T,SVM,1,54.72
A04T,SVM,2,56.6
A04T,SVM,3,69.23
A04T,SVM,4,50.0
A04T,SVM,5,61.54
A04T,LDA,1,56.6
A04T,LDA,2,62.26
A04T,LDA,3,71.15
A04T,LDA,4,53.85
A04T,LDA,5,69.23
A04T,RF,1,45.28
A04T,RF,2,50.94
A04T,RF,3,67.31
A04T,RF,4,42.31
A04T,RF,5,61.54
A05T,SVM,1,34.62
A05T,SVM,2,46.15
A05T,SVM,3,40.0
A05T,SVM,4,56.0
A05T,SVM,5,28.0
A05T,LDA,1,38.46
A05T,LDA,2,30.77
A05T,LDA,3,44.0
A05T,LDA,4,64.0
A05T,LDA,5,28.0
A05T,RF,1,42.31
A05T,RF,2,34.62
A05T,RF,3,32.0
A05T,RF,4,44.0
A05T,RF,5,40.0
A06T,SVM,1,52.63
A06T,SVM,2,59.65
A06T,SVM,3,41.07
A06T,SVM,4,50.0
A06T,SVM,5,51.79
A06T,LDA,1,56.14
A06T,LDA,2,61.4
A06T,LDA,3,46.43
A06T,LDA,4,51.79
A06T,LDA,5,51.79
A06T,RF,1,52.63
A06T,RF,2,52.63
A06T,RF,3,42.86
A06T,RF,4,46.43
A06T,RF,5,44.64
A07T,SVM,1,80.0
A07T,SVM,2,86.21
A07T,SVM,3,72.41
A07T,SVM,4,75.86
A07T,SVM,5,68.97
A07T,LDA,1,76.67
A07T,LDA,2,86.21
A07T,LDA,3,79.31
A07T,LDA,4,65.52
A07T,LDA,5,55.17
A07T,RF,1,70.0
A07T,RF,2,86.21
A07T,RF,3,62.07
A07T,RF,4,82.76
A07T,RF,5,72.41
A08T,SVM,1,89.8
A08T,SVM,2,87.5
A08T,SVM,3,87.5
A08T,SVM,4,83.33
A08T,SVM,5,93.75
A08T,LDA,1,91.84
A08T,LDA,2,89.58
A08T,LDA,3,95.83
A08T,LDA,4,83.33
A08T,LDA,5,91.67
A08T,RF,1,87.76
A08T,RF,2,83.33
A08T,RF,3,77.08
A08T,RF,4,79.17
A08T,RF,5,81.25
A09T,SVM,1,62.86
A09T,SVM,2,55.88
A09T,SVM,3,64.71
A09T,SVM,4,76.47
A09T,SVM,5,82.35
A09T,LDA,1,65.71
A09T,LDA,2,64.71
A09T,LDA,3,64.71
A09T,LDA,4,79.41
A09T,LDA,5,73.53
A09T,RF,1,68.57
A09T,RF,2,67.65
A09T,RF,3,58.82
A09T,RF,4,79.41
A09T,RF,5,73.53
